Title,"Video Directory","1080p URL","720p URL","360p URL","File Name 720p","Audio Directory","Audio URL","Document Directory","Document URL",Category,"Release Date","YouTube URL",GUID
"Hark, All Ye Nations!","/Videos/General Conference/2014-April/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0001-hark-all-ye-nations-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0001-hark-all-ye-nations-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0001-hark-all-ye-nations-360p-eng.mp4,2014-03-0001-hark-all-ye-nations-720p-eng.mp4,"/Audio/General Conference/2014-April/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0001-hark-all-ye-nations-256k-eng.mp3,,,"2014 April",20150315,,2EC88755-7C10-4CE3-9FC5-BC1D20EF482B
"Daughters in His Kingdom","/Videos/General Conference/2014-April/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0002-daughters-in-his-kingdom-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0002-daughters-in-his-kingdom-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0002-daughters-in-his-kingdom-360p-eng.mp4,2014-03-0002-daughters-in-his-kingdom-720p-eng.mp4,"/Audio/General Conference/2014-April/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0002-daughters-in-his-kingdom-256k-eng.mp3?download=true,,,"2014 April",20150315,https://youtu.be/habq48-aNkg,0CF392617-21BD-4CAF-9F30-787962232B15
"Keeping Covenants Protects Us, Prepares Us, and Empowers Us","/Videos/General Conference/2014-April/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0010-rosemary-m-wixom-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0010-rosemary-m-wixom-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0010-rosemary-m-wixom-360p-eng.mp4?,2014-03-0010-rosemary-m-wixom-720p-eng.mp4,"/Audio/General Conference/2014-April/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0010-rosemary-m-wixom-64k-eng.mp3,"/Docs/General Conference/2014-April/06-GWM",http://media.ldscdn.org/pdf/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0010-rosemary-m-wixom-eng.pdf,"2014 April",20150315,https://youtu.be/ecjmcjDK61g,2D4E25E4-61CB-4500-8940-3EFA0F41B455D
"Video Presentation - I Am a Child of God","/Videos/General Conference/2014-April/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0020-video-presentation-i-am-a-child-of-god-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0020-video-presentation-i-am-a-child-of-god-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0020-video-presentation-i-am-a-child-of-god-360p-eng.mp4,2014-03-0020-video-presentation-i-am-a-child-of-god-720p-eng.mp4,,,,,"2014 April",20150315,https://youtu.be/MRV4Ly2JQc4,0BBE7686F-1023-4C1D-8566-E9CC0811077B9
"Sisterhood: Oh, How We Need Each Other","/Videos/General Conference/2014-April/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0030-bonnie-l-oscarson-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0030-bonnie-l-oscarson-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0030-bonnie-l-oscarson-360p-eng.mp4?download=true,2014-03-0030-bonnie-l-oscarson-720p-eng.mp4,"/Audio/General Conference/2014-April/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0030-bonnie-l-oscarson-64k-eng.mp3,"/Docs/General Conference/2014-April/06-GWM",http://media.ldscdn.org/pdf/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0030-bonnie-l-oscarson-eng.pdf,"2014 April",20150315,https://youtu.be/xwJM-zNrZAk,610A7FE0-B9BB-4B43-B576-5D850A542FBBC
"Wanted - Hands and Hearts to Hasten the Work","/Videos/General Conference/2014-April/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0050-linda-k-burton-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0050-linda-k-burton-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0050-linda-k-burton-720p-eng.mp4,2014-03-0050-linda-k-burton-720p-eng.mp4,"/Audio/General Conference/2014-April/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0050-linda-k-burton-64k-eng.mp3,"/Docs/General Conference/2014-April/06-GWM",http://media.ldscdn.org/pdf/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0050-linda-k-burton-eng.pdf,"2014 April",20150315,https://youtu.be/7ywYPemUv2I,59197647-E68D-4D4B-AB88-10950C3E0AC53
"Hymn Medley: Lord, I Would Follow Thee - Love One Another","/Videos/General Conference/2014-April/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0051-hymn-medley-lord-i-would-follow-thee-love-one-another-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0051-hymn-medley-lord-i-would-follow-thee-love-one-another-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0051-hymn-medley-lord-i-would-follow-thee-love-one-another-360p-eng.mp4,2014-03-0051-hymn-medley-lord-i-would-follow-thee-love-one-another-720p-eng.mp4,"/Audio/General Conference/2014-April/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0051-hymn-medley-lord-i-would-follow-thee-love-one-another-256k-eng.mp3?download=true,,,"2014 April",20150315,https://youtu.be/a_NLvb0hWHw,5821347A-F295-4888-9C01-945809074DC2B
"Daughters in the Covenant","/Videos/General Conference/2014-April/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0060-president-henry-b-eyring-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0060-president-henry-b-eyring-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0060-president-henry-b-eyring-360p-eng.mp4,2014-03-0060-president-henry-b-eyring-720p-eng.mp4,"/Audio/General Conference/2014-April/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0060-president-henry-b-eyring-64k-eng.mp3?download=true,"/Docs/General Conference/2014-April/06-GWM",http://media.ldscdn.org/pdf/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0060-president-henry-b-eyring-eng.pdf,"2014 April",20150315,,07F0EAF2-0564-495E-B208-A4C81DE78A09
"Let Us All Press On","/Videos/General Conference/2014-April/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0061-let-us-all-press-on-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0061-let-us-all-press-on-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0061-let-us-all-press-on-360p-eng.mp4,2014-03-0061-let-us-all-press-on-720p-eng.mp4,,http://media2.ldscdn.org/assets/general-womens-meeting/march-2014-general-womens-meeting/2014-03-0061-let-us-all-press-on-256k-eng.mp3?download=true,,,"2014 April",20150315,,666D1421-A202-418E-8E07-02573A1706A6
"Highlight - Until We Meet Again - Thomas S. Monson","/Videos/General Conference/2014-April/Highlights",http://media2.ldscdn.org/assets/general-conference/april-2014-general-conference-highlights/2014-04-0330-president-thomas-s-monson-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2014-general-conference-highlights/2014-04-0330-president-thomas-s-monson-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/april-2014-general-conference-highlights/2014-04-0330-president-thomas-s-monson-360p-eng.mp4,2014-04-0330-president-thomas-s-monson-720p-eng.mp4,,,,,"2014 April",20150315,https://youtu.be/lzmkxBfhJgk,00BDC6BC-A0F3-4323-A7E2-924A0B20B34C1
