Title,"Video Directory","1080p URL","720p URL","360p URL","File Name 720p","Audio Directory","Audio URL","Document Directory","Document URL",Category,"Release Date","YouTube URL",GUID
"I Love to See the Temple","/Videos/General Conference/2014-October/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0002-i-love-to-see-the-temple-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0002-i-love-to-see-the-temple-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0002-i-love-to-see-the-temple-360p-eng.mp4,2014-09-0002-i-love-to-see-the-temple-720p-eng.mp4,,,,,"General Women's Session September 2014",20150328,,01E29A3A-642F-4D59-81C8-67850B6AFF310
"Prepared in a Manner That Never Had Been Known","/Videos/General Conference/2014-October/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0010-linda-k-burton-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0010-linda-k-burton-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0010-linda-k-burton-360p-eng.mp4,2014-09-0010-linda-k-burton-720p-eng.mp4,,,,,"General Women's Session September 2014",20150328,,0AC70F41E-83A3-48EB-83DD-FA6A08A74100A
"Hymn Medley","/Videos/General Conference/2014-October/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0011-hymn-medley-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0011-hymn-medley-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0011-hymn-medley-360p-eng.mp4,2014-09-0011-hymn-medley-720p-eng.mp4,,,,,"General Women's Session September 2014",20150328,,550F7FC7-EBBA-4F27-8EB3-FE06301943C8
"Covenant Daughters of God","/Videos/General Conference/2014-October/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0020-jean-a-stevens-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0020-jean-a-stevens-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0020-jean-a-stevens-360p-eng.mp4,2014-09-0020-jean-a-stevens-720p-eng.mp4,,,,,"General Women's Session September 2014",20150328,,673B1A4F-8040-4E5A-BA3B-45A40AA5CD007
"Video Presentation: The Holy Temple","/Videos/General Conference/2014-October/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0030-video-presentation-the-holy-temple-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0030-video-presentation-the-holy-temple-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0030-video-presentation-the-holy-temple-360p-eng.mp4,2014-09-0030-video-presentation-the-holy-temple-720p-eng.mp4,,,,,"General Women's Session September 2014",20150328,,097BA14D5-FDDA-4105-A771-EECD090CC8C4B
"Sharing Your Light","/Videos/General Conference/2014-October/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0040-neill-f-marriott-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0040-neill-f-marriott-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0040-neill-f-marriott-360p-eng.mp4,2014-09-0040-neill-f-marriott-720p-eng.mp4,,,,,"General Women's Session September 2014",20150328,,0C1D175B2-458F-4EC9-8A55-EF6408C5AE18F
"I Am a Child of God","/Videos/General Conference/2014-October/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0041-i-am-a-child-of-god-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0041-i-am-a-child-of-god-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0041-i-am-a-child-of-god-360p-eng.mp4,2014-09-0041-i-am-a-child-of-god-720p-eng.mp4,,,,,"General Women's Session September 2014",20150328,,074D92FB-7756-43AD-AF42-E14F5276BAED
"Living the Gospel Joyful","/Videos/General Conference/2014-October/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0050-president-dieter-f-uchtdorf-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0050-president-dieter-f-uchtdorf-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0050-president-dieter-f-uchtdorf-360p-eng.mp4,2014-09-0050-president-dieter-f-uchtdorf-720p-eng.mp4,,,,,"General Women's Session September 2014",20150328,,060E4C66-28F3-4C2B-9DB2-716708249556E
"Let Zion in Her Beauty Rise","/Videos/General Conference/2014-October/06-GWM",http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0051-let-zion-in-her-beauty-rise-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0051-let-zion-in-her-beauty-rise-720p-eng.mp4,http://media2.ldscdn.org/assets/general-womens-meeting/september-2014-general-womens-meeting/2014-09-0051-let-zion-in-her-beauty-rise-360p-eng.mp4,2014-09-0051-let-zion-in-her-beauty-rise-720p-eng.mp4,,,,,"General Women's Session September 2014",20150328,,15E4276A-4915-4CFF-BA74-ACE40BC315447
"Highlight: Welcome to Conference October 2014","/Videos/General Conference/2014-October/Highlights",http://media2.ldscdn.org/assets/general-conference-highlights/october-2014-general-conference-highlights/2014-10-110-president-thomas-s-monson-highlights-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference-highlights/october-2014-general-conference-highlights/2014-10-110-president-thomas-s-monson-highlights-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference-highlights/october-2014-general-conference-highlights/2014-10-110-president-thomas-s-monson-highlights-360p-eng.mp4,2014-10-110-president-thomas-s-monson-highlights-720p-eng.mp4,,,,,"October 2014 General Conference Highlights",20150328,,52B8BF07-592E-4113-AB7F-815A4F4DB261
