Title,Video Directory,1080p URL,720p URL,360p URL,File Name 720p,Audio Directory,Audio URL,Document Directory,Document URL,Category,Release Date,YouTube URL,GID
"01 I Will Bring the Light of the Gospel into My Home","/Videos/General Conference/2016-October/0-GWM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-09-0010-jean-b-bingham-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-09-0010-jean-b-bingham-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-09-0010-jean-b-bingham-360p-eng.mp4,2016-09-0010-jean-b-bingham-720p-eng.mp4,"/Audio/General Conference/2016-October/0-GWM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-09-0010-jean-b-bingham-64k-eng.mp3,"/Docs/General Conference/2016-October/0-GWM",http://media2.ldscdn.org/pdf/general-conference/october-2016-general-conference/2016-09-0010-jean-b-bingham.pdf,"General Womens Session 2016 October",,http://youtu.be/https://www.youtube.com/watch?v=j1L6IIsEGAQ,
"02 The Master Healer","/Videos/General Conference/2016-October/0-GWM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-09-0020-carole-m-stephens-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-09-0020-carole-m-stephens-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-09-0020-carole-m-stephens-360p-eng.mp4,2016-09-0020-carole-m-stephens-720p-eng.mp4,"/Audio/General Conference/2016-October/0-GWM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-09-0020-carole-m-stephens-64k-eng.mp3,"/Docs/General Conference/2016-October/0-GWM",http://media2.ldscdn.org/pdf/general-conference/october-2016-general-conference/2016-09-0020-carole-m-stephens.pdf,"General Womens Session 2016 October",,http://youtu.be/https://www.youtube.com/watch?v=rQMeHyZt0RQ,
"03 Rise Up in Strength, Sisters in Zion","/Videos/General Conference/2016-October/0-GWM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-09-0030-bonnie-l-oscarson-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-09-0030-bonnie-l-oscarson-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-09-0030-bonnie-l-oscarson-360p-eng.mp4,2016-09-0030-bonnie-l-oscarson-720p-eng.mp4,"/Audio/General Conference/2016-October/0-GWM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-09-0030-bonnie-l-oscarson-64k-eng.mp3,"/Docs/General Conference/2016-October/0-GWM",http://media2.ldscdn.org/pdf/general-conference/october-2016-general-conference/2016-09-0030-bonnie-l-oscarson.pdf,"General Womens Session 2016 October",,http://youtu.be/https://www.youtube.com/watch?v=IQGow4lNoA8,
"04 Fourth Floor, Last Door","/Videos/General Conference/2016-October/0-GWM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-09-0040-dieter-f-uchtdorf-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-09-0040-dieter-f-uchtdorf-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-09-0040-dieter-f-uchtdorf-360p-eng.mp4,2016-09-0040-dieter-f-uchtdorf-720p-eng.mp4,"/Audio/General Conference/2016-October/0-GWM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-09-0040-dieter-f-uchtdorf-64k-eng.mp3,"/Docs/General Conference/2016-October/0-GWM",http://media2.ldscdn.org/pdf/general-conference/october-2016-general-conference/2016-09-0040-dieter-f-uchtdorf.pdf,"General Womens Session 2016 October",,http://youtu.be/https://www.youtube.com/watch?v=C_Btr5a8wiQ,
"01 O How Great the Plan of Our God!","/Videos/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1010-dieter-f-uchtdorf-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1010-dieter-f-uchtdorf-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1010-dieter-f-uchtdorf-360p-eng.mp4,2016-10-1010-dieter-f-uchtdorf-720p-eng.mp4,"/Audio/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1010-dieter-f-uchtdorf-64k-eng.mp3,"/Docs/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/pdf/general-conference/october-2016-general-conference/2016-10-1010-dieter-f-uchtdorf.pdf,"Saturday Morning Session 2016 October",,,
"02 ""Come, Follow Me"" by Practicing Christian Love and Service","/Videos/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1020-robert-d-hales-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1020-robert-d-hales-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1020-robert-d-hales-360p-eng.mp4,2016-10-1020-robert-d-hales-720p-eng.mp4,"/Audio/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1020-robert-d-hales-64k-eng.mp3,"/Docs/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/pdf/general-conference/october-2016-general-conference/2016-10-1020-robert-d-hales.pdf,"Saturday Morning Session 2016 October",,http://youtu.be/https://www.youtube.com/watch?v=z98LKcVLkjg,
"03 The Soul's Sincere Desire","/Videos/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1030-carol-f-mcconkie-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1030-carol-f-mcconkie-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1030-carol-f-mcconkie-360p-eng.mp4,2016-10-1030-carol-f-mcconkie-720p-eng.mp4,"/Audio/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1030-carol-f-mcconkie-64k-eng.mp3,"/Docs/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/pdf/general-conference/october-2016-general-conference/2016-10-1030-carol-f-mcconkie.pdf,"Saturday Morning Session 2016 October",,http://youtu.be/https://www.youtube.com/watch?v=SWTVyO0HcsA,
"04 ""A Choice Seer Will I Raise Up""","/Videos/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1040-craig-c-christensen-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1040-craig-c-christensen-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1040-craig-c-christensen-360p-eng.mp4,2016-10-1040-craig-c-christensen-720p-eng.mp4,"/Audio/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1040-craig-c-christensen-64k-eng.mp3,"/Docs/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/pdf/general-conference/october-2016-general-conference/2016-10-1040-craig-c-christensen.pdf,"Saturday Morning Session 2016 October",,http://youtu.be/https://www.youtube.com/watch?v=C5scy95GmoU,
"05 The Lord Jesus Christ Teaches Us to Pray","/Videos/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1050-juan-a-uceda-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1050-juan-a-uceda-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1050-juan-a-uceda-360p-eng.mp4,2016-10-1050-juan-a-uceda-720p-eng.mp4,"/Audio/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1050-juan-a-uceda-64k-eng.mp3,"/Docs/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/pdf/general-conference/october-2016-general-conference/2016-10-1050-juan-a-uceda.pdf,"Saturday Morning Session 2016 October",,http://youtu.be/https://www.youtube.com/watch?v=yALYrMVCF8Q,
"06 Am I Good Enough? WIll I Make It?","/Videos/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1060-j-devn-cornish-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1060-j-devn-cornish-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1060-j-devn-cornish-360p-eng.mp4,2016-10-1060-j-devn-cornish-720p-eng.mp4,"/Audio/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/assets/general-conference/october-2016-general-conference/2016-10-1060-j-devn-cornish-64k-eng.mp3,"/Docs/General Conference/2016-October/1-Sat AM",http://media2.ldscdn.org/pdf/general-conference/october-2016-general-conference/2016-10-1060-j-devn-cornish.pdf,"Saturday Morning Session 2016 October",,http://youtu.be/https://www.youtube.com/watch?v=njAUUYh0G_o,
