Title,"Video Directory","1080p URL","720p URL","360p URL","File Name 720p","Audio Directory","Audio URL","Document Directory","Document URL",Category,"Release Date","YouTube URL",GUID
"Laborers in the Vineyard","/Videos/Bible Videos/02-Ministry",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-028-laborers-in-the-vineyard-720p-eng.mp4,,2014-01-028-laborers-in-the-vineyard-720p-eng.mp4,,,,,"Bible Videos",20150628,,0DB9EE20D-C9CD-418D-B2E6-C6C450A4AFE2
"Jesus Declares the Parable of the Wheat and Tares, Mustard Seed, and Leaven","/Videos/Bible Videos/02-Ministry",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-027-jesus-declares-the-parable-of-the-wheat-tares-mustard-seed-and-leaven-720p-eng.mp4,,2014-01-027-jesus-declares-the-parable-of-the-wheat-tares-mustard-seed-and-leaven-720p-eng.mp4,,,,,"Bible Videos",20150628,,0D8F2DB90-3E16-48B9-AE5C-82FC50337BB9
"Lazarus is Raised from the Dead","/Videos/Bible Videos/02-Ministry",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-026-lazarus-is-raised-from-the-dead-720p-eng.mp4,,2014-01-026-lazarus-is-raised-from-the-dead-720p-eng.mp4,,,,,"Bible Videos",20150628,,084C95980-066C-465C-B2BC-F56B402D2FEB
"Feed My Sheep","/Videos/Bible Videos/04-After Resurrection",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-025-feed-my-sheep-720p-eng.mp4,,2014-01-025-feed-my-sheep-720p-eng.mp4,,,,,"Bible Videos",20150628,,0966CA396-9BC7-4034-BD6F-47090E996472
"Wherefore Didst Thou Doubt?","/Videos/Bible Videos/02-Ministry",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-024-wherefore-didst-thou-doubt-720p-eng.mp4,,2014-01-024-wherefore-didst-thou-doubt-720p-eng.mp4,,,,,"Bible Videos",20150628,,0A3AA1FE-1976-4C5B-9658-FBD10ABA5F9A8
"The Feeding of the 5000","/Videos/Bible Videos/02-Ministry",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-023-the-feeding-of-the-5000-720p-eng.mp4,,2014-01-023-the-feeding-of-the-5000-720p-eng.mp4,,,,,"Bible Videos",20150628,,0E4B7AF95-EDC7-45BC-8EDE-FA840FD8694CD
"Christ's Authority is Questioned","/Videos/Bible Videos/03-Final Days",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-022-christs-authority-is-questioned-720p-eng.mp4,,2014-01-022-christs-authority-is-questioned-720p-eng.mp4,,,,,"Bible Videos",20150628,,704D937F-1656-45E3-858D-8382090215A62
"Widow Of Nain","/Videos/Bible Videos/02-Ministry",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-021-widow-of-nain-720p-eng.mp4,,2014-01-021-widow-of-nain-720p-eng.mp4,,,,,"Bible Videos",20150628,,0E2C4796C-4569-4856-9A27-4E1B557E609C
"I Have Kept the Faith","/Videos/Bible Videos/05-Acts of the Apostles",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-020-i-have-kept-the-faith-720p-eng.mp4,,2014-01-020-i-have-kept-the-faith-720p-eng.mp4,,,,,"Bible Videos",20150628,,58A9547C-8266-479C-852A-3ADE5EFA3F21
"Charity Never Faileth","/Videos/Bible Videos/05-Acts of the Apostles",,http://media2.ldscdn.org/assets/scripture-and-lesson-support/the-life-of-jesus-christ-bible-videos-2014/2014-01-019-charity-never-faileth-720p-eng.mp4,,2014-01-019-charity-never-faileth-720p-eng.mp4,,,,,"Bible Videos",20150628,,3C16FB8D-C675-4ADA-A94E-46C5098A44DCC
