Title,"Video Directory","1080p URL","720p URL","360p URL","File Name 720p","Audio Directory","Audio URL","Document Directory","Document URL",Category,"Release Date","YouTube URL",GUID
"Drug Addiction and the Loss of a Loved One","/Videos/Mormon Channel Programs/His Grace",http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-01-001-his-grace-drug-addiction-and-the-loss-of-a-loved-one-1080p-eng.mp4,http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-01-001-his-grace-drug-addiction-and-the-loss-of-a-loved-one-720p-eng.mp4,http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-01-001-his-grace-drug-addiction-and-the-loss-of-a-loved-one-360p-eng.mp4,2015-01-001-his-grace-drug-addiction-and-the-loss-of-a-loved-one-720p-eng.mp4,,,,,"Mormon Channel Programs",20150416,http://youtu.be/u6LzQWsfnYo,02EA8994-4CB3-4C5F-83C5-A36A37765254
"Fulfilling Your Duty to God","/Videos/Mormon Channel Programs/Mormon Messages for Youth",http://broadcast2.lds.org/youth/mormon-messages-for-youth-2012/2012-04-004-fulfilling-your-duty-to-god-1080p-eng.mp4,http://media2.ldscdn.org/assets/youth/mormon-messages-for-youth-2012/2012-04-004-fulfilling-your-duty-to-god-720p-eng.mp4,http://broadcast2.lds.org/youth/mormon-messages-for-youth-2012/2012-04-004-fulfilling-your-duty-to-god-360p-eng.mp4,2012-04-004-fulfilling-your-duty-to-god-720p-eng.mp4,,,,,"Mormon Channel Programs",20150502,https://youtu.be/vu7vSRuOZJQ,582FE21C-F20F-4BFB-84B1-F9767B014F51
"Dare to Stand Alone","/Videos/Mormon Channel Programs/Mormon Messages for Youth",http://media2.ldscdn.org/assets/youth/mormon-messages-for-youth-2012/2012-05-005-dare-to-stand-alone-1080p-eng.mp4,http://media2.ldscdn.org/assets/youth/mormon-messages-for-youth-2012/2012-05-005-dare-to-stand-alone-720p-eng.mp4,http://media2.ldscdn.org/assets/youth/mormon-messages-for-youth-2012/2012-05-005-dare-to-stand-alone-360p-eng.mp4,2012-05-005-dare-to-stand-alone-720p-eng.mp4,,,,,"Mormon Channel Programs",20150502,http://youtu.be/z_92mKlQOlk,08205DAAA-D21D-4A7D-8252-AC490E035BD0E
"From Gang Member to ""Good Man""","/Videos/Mormon Channel Programs/His Grace",http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-02-004-from-gang-member-to-good-man-his-grace-1080p-eng.mp4,http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-02-004-from-gang-member-to-good-man-his-grace-720p-eng.mp4,http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-02-004-from-gang-member-to-good-man-his-grace-360p-eng.mp4,2015-02-004-from-gang-member-to-good-man-his-grace-720p-eng.mp4,,,,,"Mormon Channel Programs",20150416,http://youtu.be/2Lxz3GHP59Y,DB5FC4FB-B249-4BB7-AF38-11B5334AC23D
"Unplanned Pregnancy, Adoption and The “Best Gift Ever”","/Videos/Mormon Channel Programs/His Grace",http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-01-002-his-grace-unplanned-pregnancy-adoption-and-the-best-gift-ever-1080p-eng.mp4,http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-01-002-his-grace-unplanned-pregnancy-adoption-and-the-best-gift-ever-720p-eng.mp4,http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-01-002-his-grace-unplanned-pregnancy-adoption-and-the-best-gift-ever-360p-eng.mp4,2015-01-002-his-grace-unplanned-pregnancy-adoption-and-the-best-gift-ever-720p-eng.mp4,,,,,"Mormon Channel Programs",20150416,http://youtu.be/iSvnjfrGgik,21963EF7-A16D-4CD4-A90B-9137E47C0EBB
"Finding Your Purpose in Life: Does Faith Matter?","/Videos/Mormon Channel Programs/His Grace",http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-01-003-finding-your-purpose-in-life-does-faith-matter-1080p-eng.mp4,http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-01-003-finding-your-purpose-in-life-does-faith-matter-720p-eng.mp4,http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-01-003-finding-your-purpose-in-life-does-faith-matter-360p-eng.mp4,2015-01-003-finding-your-purpose-in-life-does-faith-matter-720p-eng.mp4,,,,,"Mormon Channel Programs",20150416,http://youtu.be/oAaa135NnAY,E488A026-DEB2-436E-BE25-F32B67E18EF3
"Pornography Addiction - Is There Hope","/Videos/Mormon Channel Programs/His Grace",http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-03-005-pornography-addiction-is-there-hope-1080p-eng.mp4,http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-03-005-pornography-addiction-is-there-hope-720p-eng.mp4,http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-03-005-pornography-addiction-is-there-hope-360p-eng.mp4,2015-03-005-pornography-addiction-is-there-hope-720p-eng.mp4,,,,,"Mormon Channel Programs",20150309,http://youtu.be/lJh7lbgM3KY,95C968A6-19E9-45FE-BDE3-BD285F0C3360
"Prescription Drugs, Addiction, and Hope for Change","/Videos/Mormon Channel Programs/His Grace",http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-03-006-prescription-drugs-addiction-and-hope-for-change-1080p-eng.mp4,http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-03-006-prescription-drugs-addiction-and-hope-for-change-720p-eng.mp4,http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-03-006-prescription-drugs-addiction-and-hope-for-change-360p-eng.mp4,2015-03-006-prescription-drugs-addiction-and-hope-for-change-720p-eng.mp4,,,,,"Mormon Channel Programs",20150416,https://youtu.be/kMaTauiidKQ,8D0E6419-1DD8-4ED9-A54C-B2388122C85F
"Two Brothers Two: Meet Sam and Luke","/Videos/Mormon Channel Programs/Two Brothers Two",,http://media2.ldscdn.org/assets/mormon-channel/two-brothers-two/2015-05-001-two-brothers-two-meet-sam-and-luke-episode-1-720p-eng.mp4,http://media2.ldscdn.org/assets/mormon-channel/two-brothers-two/2015-05-001-two-brothers-two-meet-sam-and-luke-episode-1-360p-eng.mp4,2015-05-001-two-brothers-two-meet-sam-and-luke-episode-1-720p-eng.mp4,"/Audio/Mormon Channel Programs/Two Brothers Two",,,,"Mormon Channel Programs",20150501,https://youtu.be/Mm8Jq-HQu9o,009C4179-F649-4788-A016-501C2C6A10AF
"Life after War and Overcoming Post-Traumatic Stress","/Videos/Mormon Channel Programs/His Grace",http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-04-0070-life-after-war-and-overcoming-post-traumatic-stress-1080p-eng.mp4,http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-04-0070-life-after-war-and-overcoming-post-traumatic-stress-720p-eng.mp4,http://media2.ldscdn.org/assets/mormon-channel/his-grace-2015/2015-04-0070-life-after-war-and-overcoming-post-traumatic-stress-360p-eng.mp4,2015-04-0070-life-after-war-and-overcoming-post-traumatic-stress-720p-eng.mp4,,,,,"Mormon Channel Programs",20150507,https://youtu.be/UeLyz1_Zzqw,B92DCFD9-F96F-4978-A04E-4163C6DEC190
