Title,"Video Directory","1080p URL","720p URL","360p URL","File Name 720p","Audio Directory","Audio URL","Document Directory","Document URL",Category,"Release Date","YouTube URL",GUID
"Little Children","/Videos/Mormon Messages/2009",,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-05-17-little-children-720p-eng.mp4,,2009-05-17-little-children-720p-eng.mp4,,,,,2009,20150713,http://youtu.be/zP7K7PUU_24,7E4813E7-5780-4627-BF2E-201F44EF76EB
"Gordon Hinckley: Lessons I Learned as a Boy","/Videos/Mormon Messages/2009",,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-01-01-gordon-hinckley-lessons-i-learned-as-a-boy-720p-eng.mp4,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-01-01-gordon-hinckley-lessons-i-learned-as-a-boy-360p-eng.mp4,2009-01-01-gordon-hinckley-lessons-i-learned-as-a-boy-720p-eng.mp4,,,,,2009,20150713,http://youtu.be/naqX9iYE0V0,0996FB884-FE6E-4DD5-B56C-D00A08C859139
"Answers to Life's Great Questions","/Videos/Mormon Messages/2009",,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-01-58-answers-to-lifes-great-questions-360p-eng.mp4,,2009-01-58-answers-to-lifes-great-questions-360p-eng.mp4,,,,,2009,20150713,,0E252EBE8-C926-4442-B7C9-4E045AC066B6
"Finding Happiness","/Videos/Mormon Messages/2009",,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-01-59-finding-happiness-720p-eng.mp4,,2009-01-59-finding-happiness-720p-eng.mp4,,,,,2009,20150713,http://youtu.be/epNjOrfmdlA,79FA8354-E772-4576-932D-705C533ECBF1
Create,"/Videos/Mormon Messages/2009",,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-02-06-create-720p-eng.mp4,,2009-02-06-create-720p-eng.mp4,,,,,2009,20150713,http://youtu.be/RhLlnq5yY7k,4EAF7CE6-82B0-4946-9D2C-A1370EF0BAA07
"Are We Christians?","/Videos/Mormon Messages/2009",,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-02-07-are-we-christians-360p-eng.mp4,,2009-02-07-are-we-christians-360p-eng.mp4,,,,,2009,20150713,,09D3FBDB6-FB20-41D1-96F2-C2640E6C7F81F
"The Blessings of the Temple","/Videos/Mormon Messages/2009",,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-03-10-the-blessings-of-the-temple-360p-eng.mp4,,2009-03-10-the-blessings-of-the-temple-360p-eng.mp4,,,,,2009,20150713,http://youtu.be/vC40r19cLuw,3A71CE1A-0B4D-4D3B-8A9F-85C77881C564
"None Were with Him","/Videos/Mormon Messages/2009",,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-04-14-none-were-with-him-720p-eng.mp4,,2009-04-14-none-were-with-him-720p-eng.mp4,,,,,2009,20150713,http://youtu.be/EpFhS0dAduc,097514A57-66F8-419B-A85B-38C768709858
"How Can I Find Happiness?","/Videos/Mormon Messages/2009",,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-04-16-how-can-i-find-happiness-360p-eng.mp4,,2009-04-16-how-can-i-find-happiness-360p-eng.mp4,,,,,2009,20150713,,4BBCECA5-AC56-46EC-9912-3A251A355F61
"Virtue: For Such a Time as This","/Videos/Mormon Messages/2009",,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-05-18-virtue-for-such-a-time-as-this-360p-eng.mp4,,2009-05-18-virtue-for-such-a-time-as-this-360p-eng.mp4,,,,,2009,20150713,http://youtu.be/pR31kA_-JqM,0D37ABEA-EFC8-469A-A508-2C363874321E
"Happy Mother's Day, Mom!","/Videos/Mormon Messages/2009",,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-05-19-happy-mothers-day-mom-720p-eng.mp4,,2009-05-19-happy-mothers-day-mom-720p-eng.mp4,,,,,2009,20150713,http://youtu.be/wSVNNA98HF0,44E21854-4CE2-48FA-8BD6-DF380C34DF1A3
"Hope Ya Know, We Had a Hard Time","/Videos/Mormon Messages/2009",,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-05-21-hope-ya-know-we-had-a-hard-time-720p-eng.mp4,,2009-05-21-hope-ya-know-we-had-a-hard-time-720p-eng.mp4,,,,,2009,20150713,http://youtu.be/wz41YxNiHEg,0DCCBE266-DC38-4324-BC8D-23AC0C0D6DB47
"Let Us Be Men","/Videos/Mormon Messages/2009",,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-06-24-let-us-be-men-720p-eng.mp4,,2009-06-24-let-us-be-men-720p-eng.mp4,,,,,2009,20150713,,085780A2A-C8ED-4306-8DFD-3BA60D00428ED
"A Father Indeed","/Videos/Mormon Messages/2009",,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-06-25-a-father-indeed-720p-eng.mp4,,2009-06-25-a-father-indeed-720p-eng.mp4,,,,,2009,20150713,,08C7BDE34-09E3-429A-AB96-9ECD08EC3283B
"The Freedom To...","/Videos/Mormon Messages/2009",,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-06-27-the-freedom-to-720p-eng.mp4,,2009-06-27-the-freedom-to-720p-eng.mp4,,,,,2009,20150713,http://youtu.be/kkTKQsYWBxc,0A66E8D7B-E730-4B71-89D1-0D5B29371D9E
"Marriage and Divorce","/Videos/Mormon Messages/2009",,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-07-28-marriage-and-divorce-720p-eng.mp4,,2009-07-28-marriage-and-divorce-720p-eng.mp4,,,,,2009,20150713,http://youtu.be/sQ1yLFIEVNo,1C4F8F3D-14D8-4B8A-941A-13CD0B1A8CFCF
"Counsel to Youth","/Videos/Mormon Messages/2009",,http://media2.ldscdn.org/assets/mormon-channel/mormon-messages-2009/2009-07-31-counsel-to-youth-720p-eng.mp4,,2009-07-31-counsel-to-youth-720p-eng.mp4,,,,,2009,20150713,http://youtu.be/Hru2Vt_CGs4,50C21933-3D88-4F31-9244-C6BB417DFAE9
