Title,"Video Directory","1080p URL","720p URL","360p URL","File Name 720p","Audio Directory","Audio URL","Document Directory","Document URL",Category,"Release Date","YouTube URL",GUID
"A Conversation with Sister Beck","/Videos/Relief Society",,http://media2.ldscdn.org/assets/relief-society/relief-society-daughters-in-my-kingdom-2011/2011-11-003-a-conversation-with-sister-beck-720p-eng.mp4,,2011-11-003-a-conversation-with-sister-beck-720p-eng.mp4,,,,,"Relief Society",20150306,,0FB0A9FB8-668C-4C45-B077-4A2D0AEA27D2D
"A Conversation with the R.S., Y.W., and Primary Presidents","/Videos/Relief Society",http://media2.ldscdn.org/assets/leadership-training/recent-developments-in-womens-organizations/2014-02-0010-a-conversation-with-the-rs-yw-and-primary-presidents-1080p-eng.mp4,http://media2.ldscdn.org/assets/leadership-training/recent-developments-in-womens-organizations/2014-02-0010-a-conversation-with-the-rs-yw-and-primary-presidents-720p-eng.mp4,http://media2.ldscdn.org/assets/leadership-training/recent-developments-in-womens-organizations/2014-02-0010-a-conversation-with-the-rs-yw-and-primary-presidents-360p-eng.mp4,2014-02-0010-a-conversation-with-the-rs-yw-and-primary-presidents-720p-eng.mp4,,,,,"Relief Society",20150307,,0CDC35C98-3605-405E-99E6-AD5109B098013
"A Long Line of Faithful, Righteous Women","/Videos/Relief Society",,http://media2.ldscdn.org/assets/relief-society/relief-society-daughters-in-my-kingdom-2011/2011-11-004-a-long-line-of-faithful-righteous-women-720p-eng.mp4,http://media2.ldscdn.org/assets/relief-society/relief-society-daughters-in-my-kingdom-2011/2011-11-004-a-long-line-of-faithful-righteous-women-360p-eng.mp4,2011-11-22-a-long-line-of-faithful-righteous-women-720p-eng.mp4,,,,,"Relief Society",20150306,,0AEEDFDEC-7503-4877-8ABD-C57F4D0E1022
"A Work of Love","/Videos/Relief Society",http://media2.ldscdn.org/assets/news-and-public-affairs/general-womens-organization-social-media-videos/2014-03-002-a-work-of-love-1080p-eng.mp4,http://media2.ldscdn.org/assets/news-and-public-affairs/general-womens-organization-social-media-videos/2014-03-002-a-work-of-love-720p-eng.mp4,http://media2.ldscdn.org/assets/news-and-public-affairs/general-womens-organization-social-media-videos/2014-03-002-a-work-of-love-360p-eng.mp4,2014-03-002-a-work-of-love-720p-eng.mp4,,,,,"Relief Society",20150306,,0FC4DAF3B-B1A4-4EF2-B030-9AEC7506E287
"Celebrating 170 Years of Relief Society","/Videos/Relief Society",http://media2.ldscdn.org/assets/relief-society/segments-of-europe-east-relief-society-170th-anniversary-message/2012-03-0001-celebrating-170-years-of-relief-society-1080p-eng.mp4,http://media2.ldscdn.org/assets/relief-society/segments-of-europe-east-relief-society-170th-anniversary-message/2012-03-0001-celebrating-170-years-of-relief-society-720p-eng.mp4,http://media2.ldscdn.org/assets/relief-society/segments-of-europe-east-relief-society-170th-anniversary-message/2012-03-0001-celebrating-170-years-of-relief-society-360p-eng.mp4,2012-03-0001-celebrating-170-years-of-relief-society-720p-eng.mp4,,,,,"Relief Society",20150306,,55B99A00-539F-43A8-A448-14C40DB668FBC
"Different, Yet the Same","/Videos/Relief Society",http://media2.ldscdn.org/assets/news-and-public-affairs/general-womens-organization-social-media-videos/2014-03-003-different-yet-the-same-1080p-eng.mp4,http://media2.ldscdn.org/assets/news-and-public-affairs/general-womens-organization-social-media-videos/2014-03-003-different-yet-the-same-720p-eng.mp4,http://media2.ldscdn.org/assets/news-and-public-affairs/general-womens-organization-social-media-videos/2014-03-003-different-yet-the-same-360p-eng.mp4,2014-03-003-different-yet-the-same-720p-eng.mp4,,,,,"Relief Society",20150306,,0BCE2F28B-B2D0-4457-888D-1FF50FF60A203
"Engaged in This Work","/Videos/Relief Society",http://media2.ldscdn.org/assets/news-and-public-affairs/general-womens-organization-social-media-videos/2014-03-001-engaged-in-this-work-1080p-eng.mp4,http://media2.ldscdn.org/assets/news-and-public-affairs/general-womens-organization-social-media-videos/2014-03-001-engaged-in-this-work-720p-eng.mp4,http://media2.ldscdn.org/assets/news-and-public-affairs/general-womens-organization-social-media-videos/2014-03-001-engaged-in-this-work-360p-eng.mp4,2014-03-001-engaged-in-this-work-720p-eng.mp4,,,,,"Relief Society",20150306,,47C56DED-4C4A-434A-8D9D-DF193FC0AED5
"General Women's Meeting Choir","/Videos/Relief Society",http://media2.ldscdn.org/assets/leadership-training/recent-developments-in-womens-organizations/2014-02-0090-general-womens-meeting-choir-1080p-eng.mp4,http://media2.ldscdn.org/assets/leadership-training/recent-developments-in-womens-organizations/2014-02-0090-general-womens-meeting-choir-720p-eng.mp4,http://media2.ldscdn.org/assets/leadership-training/recent-developments-in-womens-organizations/2014-02-0090-general-womens-meeting-choir-360p-eng.mp4,2014-02-0090-general-womens-meeting-choir-720p-eng.mp4,,,,,"Relief Society",20150306,,4CEA27DE-E432-4F59-A8F9-902438EF5C61
"Integrated Global Leadership Training","/Videos/Relief Society",http://media2.ldscdn.org/assets/leadership-training/recent-developments-in-womens-organizations/2014-02-0050-integrated-global-leadership-training-1080p-eng.mp4,http://media2.ldscdn.org/assets/leadership-training/recent-developments-in-womens-organizations/2014-02-0050-integrated-global-leadership-training-720p-eng.mp4,http://media2.ldscdn.org/assets/leadership-training/recent-developments-in-womens-organizations/2014-02-0050-integrated-global-leadership-training-360p-eng.mp4,2014-02-0050-integrated-global-leadership-training-720p-eng.mp4,,,,,"Relief Society",20150306,,6C1534F5-EBDB-4EFC-A499-9BE94621049F
"Is Faith in the Atonement of Jesus Christ Written upon our Hearts","/Videos/Relief Society",http://media2.ldscdn.org/assets/general-conference-highlights/october-2012-general-conference-highlights/2012-10-1330-is-faith-in-the-atonement-of-jesus-christ-written-upon-our-hearts-1080p-eng.mp4,http://media2.ldscdn.org/assets/general-conference-highlights/october-2012-general-conference-highlights/2012-10-1330-is-faith-in-the-atonement-of-jesus-christ-written-upon-our-hearts-720p-eng.mp4,http://media2.ldscdn.org/assets/general-conference-highlights/october-2012-general-conference-highlights/2012-10-1330-is-faith-in-the-atonement-of-jesus-christ-written-upon-our-hearts-360p-eng.mp4,2012-10-1330-is-faith-in-the-atonement-of-jesus-christ-written-upon-our-hearts-720p-eng.mp4,,,,,"Relief Society",20150306,,50C87E3C-2DCF-4452-8DA8-69B00FF90E195
